lat0,lat1,LONGITUDE,LATITUDE,,,,,,
-9432089.69,3994355.097,-94.3208969,39.94355097,,,,,,
-9097544.143,3965615.703,-90.97544143,39.65615703,,,,,,100000
-10292292.64,4182935.052,-102.9229264,41.82935052,,,,,,
-10264258.16,4197372.106,-102.6425816,41.97372106,,,,,,
-8794840.265,4264463.597,-87.94840265,42.64463597,,,,,,
-9808850.782,5109148.422,-98.08850782,51.09148422,,,,,,
-7912321.403,5212117.138,-79.12321403,52.12117138,,,,,,
-8987200.979,4202599.33,-89.87200979,42.0259933,,,,,,
-8897785.614,4315497.284,-88.97785614,43.15497284,,,,,,
-8873630.78,4321707.262,-88.7363078,43.21707262,,,,,,
-8861149.378,4307888.138,-88.61149378,43.07888138,,,,,,
-7814030.396,5052874.63,-78.14030396,50.5287463,,,,,,
-8766197.515,4198619.543,-87.66197515,41.98619543,,,,,,
-10257731.63,4171726.033,-102.5773163,41.71726033,,,,,,
-9163793.612,3457727.535,-91.63793612,34.57727535,,,,,,
-9093119.091,3318146.64,-90.93119091,33.1814664,,,,,,
-8685497.164,4019473.392,-86.85497164,40.19473392,,,,,,
-9356641.659,3978056.229,-93.56641659,39.78056229,,,,,,
-7905872.653,5226786.784,-79.05872653,52.26786784,,,,,,
-7905876.694,5226811.944,-79.05876694,52.26811944,,,,,,
-9619327.658,4429360.443,-96.19327658,44.29360443,,,,,,
-12523394.22,4105701.949,-125.2339422,41.05701949,,,,,,
-8787054.876,4906715.105,-87.87054876,49.06715105,,,,,,
-10360811.67,5631789.125,-103.6081167,56.31789125,,,,,,
-9830492.653,4389079.588,-98.30492653,43.89079588,,,,,,
-8585490.518,5182191.156,-85.85490518,51.82191156,,,,,,
-9081679.374,3316011.279,-90.81679374,33.16011279,,,,,,
-8490202.417,5177479.138,-84.90202417,51.77479138,,,,,,
-10003927.26,4654903.768,-100.0392726,46.54903768,,,,,,
-9096596.617,4058205.606,-90.96596617,40.58205606,,,,,,
-10012155.59,4664047.558,-100.1215559,46.64047558,,,,,,
-9626301.875,3571166.248,-96.26301875,35.71166248,,,,,,
-8790541.996,4270889.558,-87.90541996,42.70889558,,,,,,
-9097119.657,3255809.119,-90.97119657,32.55809119,,,,,,
-9924055.825,3548660.618,-99.24055825,35.48660618,,,,,,
-8331158.536,4874447.799,-83.31158536,48.74447799,,,,,,
-9667476.663,4116335.071,-96.67476663,41.16335071,,,,,,
-9079706.629,4300480.708,-90.79706629,43.00480708,,,,,,
-9129363.234,3248468.078,-91.29363234,32.48468078,,,,,,
-9775921.711,5126101.185,-97.75921711,51.26101185,,,,,,
-9190778.554,4261084.013,-91.90778554,42.61084013,,,,,,
-9981414.266,3570677.15,-99.81414266,35.7067715,,,,,,
-7973728.511,5582589.255,-79.73728511,55.82589255,,,,,,
